"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Villa Charlotte","<https://www.booking.com/hotel/es/villa-charlotte-ibiza-town.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/ibiza/gayguide/lolas.html>","www.nighttours.com","www.nighttours.com_1621","","carrer de Llobarro","es","","villa","charlotte"
"Villa Palmera","<https://www.booking.com/hotel/es/villa-palmera-ibiza-town1.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/ibiza/gayguide/lolas.html>","www.nighttours.com","www.nighttours.com_1622","","carrer del capsigrany 7","es","","villa","palmera"
"WH Hotel","<https://www.booking.com/hotel/lb/wh.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/beirut/gayguide/bear-arabia.html>","www.nighttours.com","www.nighttours.com_1623","1103","Lyon Street, Hamra, P.O BOX 1136508","lb","Beirut","hotel","wh"
"35 Rooms","<https://www.booking.com/hotel/lb/35-rooms.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/beirut/gayguide/bear-arabia.html>","www.nighttours.com","www.nighttours.com_1624","1103","Baalbeck Street","lb","Beirut","","rooms"
"InterContinental Phoenicia Beirut","<https://www.booking.com/hotel/lb/intercontinental-phoenicia-beirut.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/beirut/gayguide/bear-arabia.html>","www.nighttours.com","www.nighttours.com_1625","6105","Minet El Hosn","lb","Beirut","intercontinental","beirut phoenicia"
"Gefinor Rotana \u2013 Beirut","<https://www.booking.com/hotel/lb/gefinor-rotana.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/beirut/gayguide/bear-arabia.html>","www.nighttours.com","www.nighttours.com_1626","1103","Clemenceau Street","lb","Beirut","","gefinor beirut rotana"
"Astron Garden Special","<https://www.booking.com/hotel/br/astron-garden-special-sapso-paulo.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/saopaulo/gayguide/bar-da-dida.html>","www.nighttours.com","www.nighttours.com_1627","","Rua Dr. Melo Alves, n.55","br","","garden","special astron"
"Hotel WZ Jardins","<https://www.booking.com/hotel/br/hotel-wz-jardins.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/saopaulo/gayguide/bar-da-dida.html>","www.nighttours.com","www.nighttours.com_1628","","Avenida Rebou\u00E7as, 955","br","","hotel","wz jardins"
"Espa\u00E7o e conforto nos Jardins!","<https://www.booking.com/hotel/br/espaco-e-conforto-nos-jardins.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/saopaulo/gayguide/bar-da-dida.html>","www.nighttours.com","www.nighttours.com_1629","","Alameda Lorena, 1748 apt. 52","br","","","espa e conforto jardins nos"
"TOC Hostel Barcelona","<https://www.booking.com/hotel/es/toc-hostel-barcelona.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/barcelona/gayguide/metro.html>","www.nighttours.com","www.nighttours.com_163","","Calle Gran V\u00EDa de les Corts Catalanes 580","es","","","hostel barcelona toc"
"Transamerica Classic \u00D3pera","<https://www.booking.com/hotel/br/transamerica-flat-opera.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/saopaulo/gayguide/bar-da-dida.html>","www.nighttours.com","www.nighttours.com_1630","","Alameda Lorena, 1748","br","","","classic transamerica"
"Signoria Suite","<https://www.booking.com/hotel/it/i-leoni-del-marzocco-apartment.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/florence/gayguide/crisco-club.html>","www.nighttours.com","www.nighttours.com_1631","","Via dei Leoni 6","it","","","signoria suite"
"Florence Rental","<https://www.booking.com/hotel/it/florence-rental.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/florence/gayguide/crisco-club.html>","www.nighttours.com","www.nighttours.com_1632","","Via dei Neri 18","it","","","rental florence"
"Appartamento Piazza Signoria","<https://www.booking.com/hotel/it/appartamento-piazza-signoria-florence.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/florence/gayguide/crisco-club.html>","www.nighttours.com","www.nighttours.com_1633","","Via dei neri 33, piano secondo","it","","","appartamento piazza signoria"
"Cimabue Suite","<https://www.booking.com/hotel/it/cimabue-suite.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/florence/gayguide/crisco-club.html>","www.nighttours.com","www.nighttours.com_1634","","Via della Ninna, 1","it","","","cimabue suite"
"AKOM Prahran","<https://www.booking.com/hotel/au/l-39-emporia-melbourne.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/melbourne/gayguide/the-market.html>","www.nighttours.com","www.nighttours.com_1635","","33 Grattan street","au","","","prahran akom"
"Boutique Stays - Vox Vibe","<https://www.booking.com/hotel/au/boutique-stays-vox-vibe.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/melbourne/gayguide/the-market.html>","www.nighttours.com","www.nighttours.com_1636","","603 / 59 Porter Street","au","","boutique","stays vox vibe"
"Boutique Stays - Vox Views","<https://www.booking.com/hotel/au/boutique-stays-vox-views.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/melbourne/gayguide/the-market.html>","www.nighttours.com","www.nighttours.com_1637","","59 Porter Street","au","","boutique","stays vox views"
"Quest Prahran","<https://www.booking.com/hotel/au/quest-prahran.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/melbourne/gayguide/the-market.html>","www.nighttours.com","www.nighttours.com_1638","","9 Balmoral Street, ","au","","","prahran quest"
"Incentra Village Hotel","<https://www.booking.com/hotel/us/incentra-village-house.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/newyork/gayguide/cubbyhole.html>","www.nighttours.com","www.nighttours.com_1639","","32 8th Avenue","us","","hotel","incentra village"
